case,window_seconds,service,pre_spans,post_spans,pre_median,post_median,median_ratio,pre_p95,post_p95,p95_ratio,pre_error_rate,post_error_rate,error_rate_change
re2ob_checkoutservice_cpu_3,60,paymentservice,42,36,182.5,190.0,1.0410958904109588,597.1999999999987,444.75,0.7447253851306112,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,60,productcatalogservice,4264,4278,14.0,14.0,1.0,29.0,28.0,0.9655172413793104,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,60,recommendationservice,1126,1146,3590.0,3671.0,1.0225626740947076,5034.5,5448.25,1.0821829377296652,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,checkoutservice,832,724,4000.5,4760.0,1.189851268591426,70038.3999999999,195730.90000000008,2.7946226641385348,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,currencyservice,4922,4587,133.0,139.0,1.0451127819548873,210.0,217.0,1.0333333333333334,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,emailservice,106,99,210.5,208.0,0.9881235154394299,430.0,438.0999999999999,1.0188372093023255,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,frontendservice,17571,17262,3429.0,3622.0,1.0562846310877807,55606.0,60424.250000000015,1.0866498219616592,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,paymentservice,82,75,185.5,193.0,1.0404312668463611,327.40000000000003,903.3999999999996,2.7593158216249223,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,productcatalogservice,8748,8732,14.0,14.0,1.0,30.0,29.0,0.9666666666666667,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,120,recommendationservice,2304,2336,3593.0,3651.0,1.0161424993042025,4972.7,5132.75,1.032185734108231,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,checkoutservice,1768,1832,4005.0,4662.5,1.1641697877652935,70227.19999999995,190334.2499999998,2.7102639717944035,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,currencyservice,12085,11672,131.0,139.0,1.0610687022900764,210.0,221.0,1.0523809523809524,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,emailservice,247,252,207.0,205.5,0.9927536231884058,455.79999999999995,453.69999999999993,0.9953927161035542,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,frontendservice,43194,43695,3386.0,3655.0,1.07944477259303,54728.79999999996,59023.09999999997,1.0784650860241776,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,paymentservice,187,192,182.0,195.5,1.0741758241758241,696.0999999999995,564.649999999999,0.8111621893406111,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,productcatalogservice,21315,22075,14.0,14.0,1.0,30.0,31.0,1.0333333333333334,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,300,recommendationservice,5656,5898,3557.0,3637.0,1.022490863086871,4798.25,4949.5999999999985,1.0315427499609229,0.0,0.0,0.0
